OBJECTID,GLOBAL_ID,NAME,TYPE_CODE,CLASS,UPPER_DESC,UPPER_VAL,UPPER_UOM,UPPER_CODE,LOWER_DESC,LOWER_VAL,LOWER_UOM,LOWER_CODE,LEVEL_CODE,CITY,STATE,COUNTRY,CONT_AGENT,COMM_NAME,SECTOR,ONSHORE,EXCLUSION,TIMESOFUSE,GMTOFFSET,DST_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
316,42A82EB0-568C-43B3-BED1-96FA4A875B9A,P-40,P,,TNI,5000,FT,MSL,,0,FT,SFC,L,THURMONT,MD,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,0,1,0,0.0101743500188149,0.362030860674686
317,F9900C09-B2CB-4DC2-AB5A-3E3347D5055D,P-47,P,,TI,4800,FT,MSL,,0,FT,SFC,L,AMARILLO,TX,UNITED STATES,,,,1,0,CONTINUOUS,-6,1,,0,0,1,0,0,0,0.00376415897198967,0.28793104171396
318,4D57199D-F4D3-4E06-87B7-2A36EC014B22,P-49,P,,TI,2000,FT,MSL,,0,FT,SFC,L,CRAWFORD,TX,UNITED STATES,,,,1,0,CONTINUOUS,-6,1,,0,0,1,0,1,0,0.00409321171014199,0.22785112110984
319,F89404C6-0B01-4DF2-B6D4-9197B80F6157,P-50,P,,TNI,3000,FT,MSL,,0,FT,SFC,L,KINGS BAY,GA,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,0,1,0,0.00406030817134706,0.226826940724769
320,8720FAB6-C420-4133-A889-C67A567F1E3B,P-51,P,,TNI,2500,FT,MSL,,0,FT,SFC,L,BANGOR,WA,UNITED STATES,,,,1,0,CONTINUOUS,-8,1,,1,0,1,0,0,0,0.00582422846537156,0.299472179089853
321,EED92347-3285-4391-B469-3B547AC268AD,P-56,P,,TI,18000,FT,MSL,,0,FT,SFC,B,DISTRICT OF COLUMBIA,DC,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,1,1,0,0.000833828840313799,0.137106648017166
322,3D5112F8-9816-4858-BE5C-213A81DE8325,P-56,P,,TI,18000,FT,MSL,,0,FT,SFC,B,DISTRICT OF COLUMBIA,DC,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,1,1,0,0.000211291229106791,0.0521176604855758
323,EC49F0CE-DB2F-4800-8D89-55140C4CC07E,P-67,P,,TI,1000,FT,MSL,,0,FT,SFC,L,KENNEBUNKPORT,ME,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,0,0,0,0.000900951309176889,0.108451940210556
324,F3C3F51D-8720-4669-B563-EE2A412B0DC4,P-73,P,,TNI,1500,FT,MSL,,0,FT,SFC,L,MOUNT VERNON,VA,UNITED STATES,,,,1,0,CONTINUOUS,-5,1,,0,0,1,0,1,0,0.000208623454454937,0.0518999025057891
325,578AE9FC-A679-49E5-A4E2-F7C4C3DBE88A,R-2101,R,,TI,5000,FT,MSL,,0,FT,SFC,L,ANNISTON ARMY DEPOT,AL,UNITED STATES,"FAA, BIRMINGHAM ATCT",,,1,0,"0700 - 1800, MON - FRI",-6,1,,0,0,1,0,0,0,0.000597993830979249,0.0974196331900989
326,5CF501FD-0CFC-4F44-897F-C8E5F7C9E208,R-2102A,R,,TI,8000,FT,MSL,,0,FT,SFC,L,FORT MCCLELLAN,AL,UNITED STATES,"FAA, ATLANTA ARTCC",,,1,0,"INTERMITTENT, 0600 - 2200, DAILY; OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-6,1,,0,0,1,0,0,0,0.00891111114287924,0.412256188441694
327,491C5DCE-1161-472F-8C3B-C781BD9A989C,R-2102B,R,,TI,14000,FT,MSL,,8000,FT,MSL,L,FORT MCCLELLAN,AL,UNITED STATES,"FAA, ATLANTA ARTCC",,,1,0,"INTERMITTENT, 0600 - 2200, DAILY; OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-6,1,,0,0,1,0,0,0,0.00891111114287924,0.412256188441694
328,F49EFE47-A1B8-476F-A2BE-786502FE9986,R-2102C,R,,TI,24000,FT,MSL,,14000,FT,MSL,B,FORT MCCLELLAN,AL,UNITED STATES,"FAA, ATLANTA ARTCC",,,1,0,"INTERMITTENT, 0600 - 2200, DAILY; OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-6,1,,0,0,1,1,0,0,0.00891111114287924,0.412256188441694
329,263482D0-F4E9-4E34-9CCA-F3FD6999B60F,R-2103A,R,,TNI,10000,FT,MSL,,0,FT,SFC,L,FORT NOVOSEL,AL,UNITED STATES,"U.S. ARMY, CAIRNS APPROACH CONTROL",,,1,0,CONTINUOUS,-6,1,,0,0,1,0,0,0,0.012352555123698,0.395740027613942
330,DFC53509-3990-4FCB-BC1E-0144076ED41E,R-2103B,R,,TI,15000,FT,MSL,,10000,FT,MSL,L,FORT NOVOSEL,AL,UNITED STATES,"FAA, JACKSONVILLE ARTCC",,,1,0,BY NOTAM 6 HOURS IN ADVANCE,-6,1,,0,0,1,0,0,0,0.012352555123698,0.395740027613942
331,A397D473-99E4-4108-ADD8-2F67E9F5619E,R-2104A,R,,TI,12000,FT,MSL,,0,FT,SFC,L,HUNTSVILLE,AL,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"INTERMITTENT, 0600 - 2000, MON - SAT; OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-6,1,,0,0,1,0,0,0,0.00659379714079478,0.360655231240307
332,62576C07-BD92-47D1-AC83-B189F28298E6,R-2104B,R,,TI,2400,FT,MSL,,0,FT,SFC,L,HUNTSVILLE,AL,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,CONTINUOUS,-6,1,,0,0,1,0,0,0,0.00143196775502474,0.182373233674205
333,C037C70F-5F12-488D-8F80-125CC5801069,R-2104C,R,,TI,12000,FT,MSL,,0,FT,SFC,L,HUNTSVILLE,AL,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"INTERMITTENT, 0600 - 2000, MON - SAT; OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-6,1,,0,0,1,0,0,0,0.00144386575334465,0.160339956703238
334,45B6ED35-0828-4263-AA76-5F79E9474D14,R-2104D,R,,TI,300,FL,STD,,12000,FT,MSL,B,HUNTSVILLE,AL,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,BY NOTAM 6 HOURS IN ADVANCE,-6,1,,0,0,1,1,0,0,0.00659379714079478,0.360655231240307
335,EB1D852F-EAA2-4FBB-A766-67DF4E04ADD9,R-2104E,R,,TI,300,FL,STD,,12000,FT,MSL,B,HUNTSVILLE,AL,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,BY NOTAM 6 HOURS IN ADVANCE,-6,1,,0,0,1,1,0,0,0.00144386575334465,0.160339956703238
336,03F0C081-5770-441B-AC42-8293A1B79F9B,R-2202A,R,,TNI,10000,FT,MSL,,0,FT,SFC,L,BIG DELTA,AK,UNITED STATES,"FAA, ANCHORAGE ARTCC",,,1,0,"0700 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,0,0,0,0,0,0.106495949009513,1.83104067088931
337,E4BC7662-2319-4C34-9082-9CDFB2F2809F,R-2202B,R,,TNI,10000,FT,MSL,,0,FT,SFC,L,BIG DELTA,AK,UNITED STATES,"FAA, ANCHORAGE ARTCC",,,1,0,"0700 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,0,0,0,0,0,0.249056193494653,2.064112572835
338,FE38ECD6-3F42-4196-BA30-F0CF05CC976B,R-2202C,R,,TI,310,FL,STD,,10000,FT,MSL,B,BIG DELTA,AK,UNITED STATES,"FAA, ANCHORAGE ARTCC",,,1,0,INTERMITTENT BY NOTAM,-9,1,,1,1,0,0,0,0,0.35554803021023,2.67019470237916
339,DAE2F023-81D3-41F7-8115-1A7AADDB5F2A,R-2202D,R,,,-9998,,UNLTD,ANI,310,FL,STD,U,BIG DELTA,AK,UNITED STATES,"FAA, ANCHORAGE ARTCC",,,1,0,INTERMITTENT BY NOTAM,-9,1,,0,1,0,0,0,0,0.35554803021023,2.67019470237916
340,00047F20-56C5-45F2-B586-0354A91144A2,R-2203A,R,,TI,11000,FT,MSL,,0,FT,SFC,L,EAGLE RIVER,AK,UNITED STATES,"FAA, ANCHORAGE APPROACH CONTROL",,,1,0,"0500 - 2400, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,0,0,0,0,0,0.003571064839889,0.427575900327237
341,0C6CD9EE-723A-40CF-92E8-FF6A3A254427,R-2203B,R,,TI,11000,FT,MSL,,0,FT,SFC,L,EAGLE RIVER,AK,UNITED STATES,"FAA, ANCHORAGE APPROACH CONTROL",,,1,0,"0500 - 2400, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,0,0,0,0,0,0.0114580401459534,0.497652637950325
342,96A0B59B-42B2-47F7-990E-0AB6FCAA97D5,R-2203C,R,,TI,5000,FT,MSL,,0,FT,SFC,L,EAGLE RIVER,AK,UNITED STATES,"FAA, ANCHORAGE APPROACH CONTROL",,,1,0,"0500 - 2400, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,0,0,0,0,0,0.000851774705552089,0.127926700540781
343,2F6BF687-86DE-4F01-B43F-9BCE49775D23,R-2211,R,,TI,310,FL,STD,,0,FT,SFC,B,BLAIR LAKES,AK,UNITED STATES,"FAA, FAIRBANKS APPROACH CONTROL",,,1,0,"0800 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-9,1,,1,1,0,0,0,0,0.0852025463791506,1.41428540249875
344,EFD7AF7F-9E80-4FFA-A5CE-BC2FEA3F598F,R-2301E,R,,TI,800,FL,STD,,0,FT,SFC,B,AJO EAST,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0630 - 2400, DAILY; OTHER TIMES BY NOTAM",-7,0,,0,0,1,1,1,0,0.506918819541397,3.00601208321285
345,2F2A6B81-3A9E-4A87-A065-D70075C996E9,R-2302,R,,TI,10000,FT,MSL,,0,FT,SFC,L,FLAGSTAFF,AZ,UNITED STATES,FAA PHOENIX TRACON,,,1,0,"INTERMITTENT BY NOTAM, 0800 - 2400 MST, MON - SAT, 4 HRS IN ADVANCE",-7,0,,0,0,1,0,0,0,0.00125592994163526,0.126594513276357
346,FAA4A697-79BA-4E97-8D14-BDA3D9ECDA05,R-2303C,R,,TI,300,FL,STD,,15000,FT,MSL,B,FORT HUACHUCA,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,INTERMITTENT BY NOTAM 24 HOURS IN ADVANCE,-7,0,,0,0,1,1,0,0,0.0759259258447855,1.35680040153673
347,D6A39CCD-D5CE-4E65-8F69-1C8F9CB9E8D2,R-2304,R,,TI,240,FL,STD,,0,FT,SFC,B,GILA BEND,AZ,UNITED STATES,"FAA, ALBUQUERQUE CENTER",,,1,0,"0630 - 2400, MON - SAT; OTHER TIMES BY NOTAM",-7,0,,0,0,1,1,1,0,0.113611111412638,1.39323713892808
348,CF4082CC-DDFD-4099-A820-6B8D7F4DC412,R-2305,R,,TI,240,FL,STD,,0,FT,SFC,B,GILA BEND,AZ,UNITED STATES,"FAA, ALBUQUERQUE CENTER",,,1,0,"0630 - 2400, MON - SAT; OTHER TIMES BY NOTAM",-7,0,,0,0,1,1,1,0,0.061625964656514,1.05370464808214
349,7EAA37A1-0BAE-4E97-8196-61BB57272D04,R-2306A,R,,TI,80000,FT,MSL,,0,FT,SFC,B,YUMA WEST,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.0697040973691401,1.12086352722904
350,D42BC527-B20A-462E-B8DE-1B85521DAB33,R-2306B,R,,TI,80000,FT,MSL,,0,FT,SFC,B,YUMA WEST,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.0548895557724336,0.916384998283772
351,E389ED26-2B82-497B-90C9-74E8CA4C3FBE,R-2306C,R,,TI,40000,FT,MSL,,0,FT,SFC,B,YUMA WEST,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2200, DAILY; OTHER TIMES BY NOTAM",-7,0,,0,0,1,1,0,0,0.0121828704327527,0.485374107988833
352,17AA0199-7AA6-47F0-A634-FEEF379FA2EB,R-2306D,R,,TI,230,FL,STD,,0,FT,SFC,B,YUMA NORTH,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.00512442136823665,0.497704435949256
353,12A90A66-1390-488E-AF58-7699CEFBAF2A,R-2306E,R,,TI,80000,FT,MSL,,0,FT,SFC,B,YUMA WEST,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.0213812283300285,0.643947882406715
354,9B21EB77-B643-414F-9639-FEB4357808B6,R-2308B,R,,TI,80000,FT,MSL,,0,FT,SFC,B,YUMA EAST,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.0255462963909849,0.714444446000016
355,F0F79A13-7C81-49E0-B5DB-83C43E581F08,R-2308C,R,,TI,230,FL,STD,,1500,FT,SFC,B,YUMA NORTH,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,1,0,0,0.00966319459257647,0.917205746289994
356,664526E7-09E4-4038-A754-5CE6E3C6DBA6,R-2309,R,,TI,15000,FT,MSL,,0,FT,SFC,L,YUMA,AZ,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-7,0,,0,0,1,0,0,0,0.00233765213965853,0.172374493065414
357,F393E8DB-9DE8-4766-8BF4-03B3D9040483,R-2310A,R,,TI,10000,FT,MSL,,0,FT,SFC,L,FLORENCE,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,INTERMITTENT BY NOTAM 48 HOURS IN ADVANCE,-7,0,,0,0,1,0,1,0,0.00964949839999463,0.475057409006815
358,3651854F-37EF-4BD7-A679-F158B55C56D5,R-2310B,R,,TI,17000,FT,MSL,,10000,FT,MSL,L,FLORENCE,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,INTERMITTENT BY NOTAM 48 HOURS IN ADVANCE,-7,0,,0,0,1,0,1,0,0.00594591048138682,0.325760707095654
359,706AAE37-3232-49FA-B546-880F105FBF37,R-2310C,R,,TI,35000,FT,MSL,,17000,FT,MSL,B,FLORENCE,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,INTERMITTENT BY NOTAM 48 HOURS IN ADVANCE,-7,0,,0,0,1,1,1,0,0.00487349537820592,0.28796407608725
360,BA4107E5-1379-4566-962F-5583CF6EF262,R-2311,R,,TI,3500,FT,MSL,,0,FT,SFC,L,YUMA,AZ,UNITED STATES,"YUMA APPROACH CONTROL MCAS, YUMA, AZ",,,1,0,"SUNRISE - SUNSET, MON - SAT; OTHER TIMES BY NOTAM",-7,0,,0,0,1,0,0,0,0.0205654707037866,0.674181103233428
361,6345D3E0-1720-4ED3-B0DE-6CA258CB0E3E,R-2312,R,,TNI,15000,FT,MSL,,0,FT,SFC,L,FORT HUACHUCA,AZ,UNITED STATES,ALBUQUERQUE ARTCC,,,1,0,CONTINUOUS,-7,0,,0,0,1,0,0,0,0.00308735048133713,0.197880508029667
362,62FB4934-1B20-4097-9640-FC2A53447622,R-2401A,R,,TI,30000,FT,MSL,,0,FT,SFC,B,FORT CHAFFEE,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"SUNRISE - SUNSET, MON - SUN; OTHER TIMES BY NOTAM",-6,1,,0,0,1,1,0,0,0.00533694149544317,0.296527343525903
363,D6E85C06-0B83-4893-AE60-EEE74F008B3A,R-2401B,R,,TI,30000,FT,MSL,,0,FT,SFC,B,FORT CHAFFEE,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"SUNRISE - SUNSET, MON - SUN; OTHER TIMES BY NOTAM",-6,1,,0,0,1,1,0,0,0.000837603502759521,0.141239034683348
364,16712C07-D874-441A-BA17-0BD3BB33B143,R-2402A,R,,TI,30000,FT,MSL,,0,FT,SFC,B,FORT CHAFFEE,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"SUNRISE - SUNSET, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,1,0,0,0.0210968379867609,0.61734086588353
365,2E624A9F-2333-46E3-AAA9-81608E17580C,R-2402B,R,,TNI,220,FL,STD,,10000,FT,MSL,B,FORT CHAFFEE,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"SUNRISE - SUNSET, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,1,0,0,0.0173867709956994,0.804953058720673
366,1C6292DD-BCE5-44AA-AB55-FC113F66410C,R-2402C,R,,TNI,220,FL,STD,,13000,FT,MSL,B,FORT CHAFFEE,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,"SUNRISE - SUNSET, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,1,0,0,0.013544060049071,0.535211929688909
367,82D8DACA-432C-4E96-A8A9-903AF7E5C87E,R-2403A,R,,TI,16000,FT,MSL,,0,FT,SFC,L,LITTLE ROCK,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,BY NOTAM 24 HOURS IN ADVANCE,-6,1,,0,0,1,0,0,0,0.00238205784626189,0.198338887999967
368,0A9D3792-BD95-4BED-9995-38EAD7299233,R-2403B,R,,TI,16000,FT,MSL,,0,FT,SFC,L,LITTLE ROCK,AR,UNITED STATES,"FAA, MEMPHIS ARTCC",,,1,0,BY NOTAM 24 HOURS IN ADVANCE,-6,1,,0,0,1,0,0,0,0.00350012966509894,0.243338890000018
369,13714F3D-2EBD-4FD4-8445-C39E41E10F23,R-2502A,R,,TI,16000,FT,MSL,,0,FT,SFC,L,FORT IRWIN,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,0,0,0,0.025674073991695,1.12632660090171
370,25E7E703-B3C8-4EE8-A366-D7B64142D088,R-2502E,R,,,-9998,,UNLTD,,0,FT,SFC,B,FORT IRWIN,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,1,0,0,0.0611554782874464,1.35328288933864
371,0A1BFC73-9055-4C28-8774-45789230E958,R-2503A,R,,TI,2000,FT,MSL,,0,FT,SFC,L,CAMP PENDLETON,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2400, DAILY; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0218460679643613,0.831095464719499
372,B58ACF2B-36BD-4CBF-AA53-7463A2291554,R-2503B,R,,TI,15000,FT,MSL,,0,FT,SFC,L,CAMP PENDLETON,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2400, DAILY; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0358983024123063,0.814846456404824
373,6DD008F9-F394-41EF-B30A-CA067E296D37,R-2503C,R,,TI,270,FL,STD,,15000,FT,MSL,B,CAMP PENDLETON,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC
FAA, LOS ANGELES ARTCC",,,1,0,"INTERMITTENT BY NOTAM 24 HOURS IN ADVANCE AND WITH THE CONCURRENCE %OF THE CONTROLLING AGENCY, NOT TO EXCEED 40 HRS ANNUALLY
",-8,1,,0,0,1,1,0,0,0.0283228394757771,0.745712130741679
374,D4FF2E90-6909-4268-AFBB-A3632D697374,R-2503D,R,,TI,11000,FT,MSL,,2000,FT,MSL,L,CAMP PENDLETON,CA,UNITED STATES,"FAA, SOUTHERN CALIFORNIA TRACON",,,1,0,INTERMITTENT BY NOTAM 24 HOURS IN ADVANCE %NOT TO EXCEED 20 DAYS PER YEAR FROM 0600 TO 2400 LOCAL TIME %AND NOT MORE THAN 90 DAYS PER YEAR BETWEEN 0001 AND 0600 LOCAL.,-8,1,,0,0,1,0,0,0,0.0218460679643613,0.831095464719499
375,14778D22-0D44-4BE4-9F29-2C878EA7D2FD,R-2504A,R,,TNI,6000,FT,MSL,,0,FT,SFC,L,CAMP ROBERTS,CA,UNITED STATES,"FAA, OAKLAND ARTCC.",,,1,0,"0600 - 2400, DAILY",-8,1,,0,0,1,0,0,0,0.00913603397566476,0.403703657865651
376,073744AF-4B69-464B-8A3A-AF24E76988CF,R-2504B,R,,TI,15000,FT,MSL,,6000,FT,MSL,L,CAMP ROBERTS,CA,UNITED STATES,"FAA, OAKLAND ARTCC.",,,1,0,"0600 - 2400, DAILY",-8,1,,0,0,1,0,0,0,0.00913603397566476,0.403703657865651
377,763397E1-E9BD-4D00-A416-A9679A061DE6,R-2507E,R,,TI,400,FL,STD,,0,FT,SFC,B,CHOCOLATE MOUNTAINS,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0700 - 2300, DAILY; OTHER TIMES BY NOTAM",-8,1,,0,0,1,1,0,0,0.00567773388252135,0.430269672387077
378,1BFCBD92-EE6A-4B6F-A2C2-B17E2711D16E,R-2507N,R,,TI,400,FL,STD,,0,FT,SFC,B,NORTH CHOCOLATE MOUNTAINS,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,1,0,0,0.0711902005816683,1.21858003204745
379,04C35B79-A027-4D77-A00E-B51141CA35CF,R-2507S,R,,TI,400,FL,STD,,0,FT,SFC,B,SOUTH CHOCOLATE MOUNTAINS,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,1,0,0,0.0805160174713819,1.16213210102759
380,823509D8-B265-4676-BEC4-C6868A364D21,R-2510A,R,,TI,15000,FT,MSL,,0,FT,SFC,L,EL CENTRO,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0700 - 2300, DAILY; OTHER TIMES BY NOTAM 24 HOURS IN ADVANCE",-8,1,,0,0,1,0,0,0,0.0598302034607059,1.03076235900785
381,24A16C5D-17FA-4158-BCEA-56FB3CF9FD04,R-2510B,R,,TI,400,FL,STD,,15000,FT,MSL,B,EL CENTRO,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"BY NOTAM, 0700 - 2300, WEEKENDS, 24 HOURS IN ADVANCE",-8,1,,0,0,1,1,0,0,0.0411017176968471,0.876485298604763
382,83F163CC-C287-4D5C-808D-A4F601068801,R-2512,R,,TI,23000,FT,MSL,,0,FT,SFC,B,HOLTVILLE,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2300, DAILY; OTHER TIMES BY NOTAM 24 HOURS IN ADVANCE",-8,1,,0,0,1,1,0,0,0.0247222222735672,0.781593127081005
383,3A725534-D65F-4EA4-8323-3E7EA75EB376,R-2513,R,,TI,240,FL,STD,,0,FT,SFC,B,HUNTER-LIGGETT,CA,UNITED STATES,"FAA, OAKLAND ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,1,0,0,0.0389359567352585,0.902790262318688
384,BE2911C0-5581-42B5-A1FC-2EC4D40779B7,R-2519,R,,,-9998,,UNLTD,,0,FT,SFC,B,POINT MUGU,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,CONTINUOUS,-8,1,,0,0,1,1,1,0,0.00776346677662332,0.377718736435918
385,9112F50D-BD03-4E4A-AE4A-5797A03AA390,R-2531,R,,TNI,4000,FT,MSL,,0,FT,SFC,L,TRACY,CA,UNITED STATES,"FAA NORTHERN CALIFORNIA, TRACON",,,1,0,"1000 - 2050, MON - FRI; SAT - SUN, BY NOTAM 24 HOURS IN ADVANCE",-8,1,,0,0,1,0,0,0,0.00143506946778871,0.154608885041211
386,858A75D7-FECC-45D7-9523-E4CB275503E6,R-2534A,R,,,-9998,,UNLTD,,500,FT,SFC,B,VANDENBERG AFB,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,INTERMITTENT BY NOTAM 4 HOURS IN ADVANCE,-8,1,,0,0,1,1,0,0,0.0177779863156502,0.764864186058574
387,441E88DC-A9E8-44C5-BF1D-6FC9B34EF383,R-2534B,R,,,-9998,,UNLTD,,500,FT,SFC,B,VANDENBERG AFB,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,INTERMITTENT BY NOTAM 4 HOURS IN ADVANCE,-8,1,,0,0,1,1,0,0,0.0180133101412139,0.686527399873633
388,C60AF0D0-0C82-4329-AB92-C3CF18FDF48F,R-2535A,R,,TI,100000,FT,MSL,,0,FT,SFC,B,SAN NICOLAS ISLAND,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2200, MON - FRI; OTHER TIMES BY NOTAM 24 HOURS IN ADVANCE",-8,1,,0,0,1,1,0,0,0.0208410493680731,0.55796645160549
389,14E3372C-5109-43CA-80A5-7EEE3983C006,R-2535B,R,,TI,100000,FT,MSL,,0,FT,SFC,B,SAN NICOLAS ISLAND,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2200, MON - FRI; OTHER TIMES BY NOTAM 24 HOURS IN ADVANCE",-8,1,,0,0,1,1,0,0,0.0122527006647033,0.454859831474817
390,18E0FE59-84BF-4F96-A78D-BFD7BC130089,R-2601A,R,,TNI,12500,FT,MSL,,0,FT,SFC,L,FORT CARSON,CO,UNITED STATES,"FAA, DENVER ARTCC",,,1,0,"0500 - 2400, MON - FRI; O/T BY NOTAM 1 HOUR IN ADVANCE",-7,1,,0,0,1,0,0,0,0.0430279706447436,0.871340581352635
391,CC16B3F5-1AB4-422A-AB40-B69397F13C3D,R-2601B,R,,TNI,22500,FT,MSL,,12500,FT,MSL,B,FORT CARSON,CO,UNITED STATES,"FAA, DENVER ARTCC",,,1,0,BY NOTAM 1 HOUR IN ADVANCE,-7,1,,0,0,1,1,0,0,0.0430279706447436,0.871340581352635
392,E00DC19F-6143-4536-B070-A61E9C7E03EB,R-2601C,R,,TNI,35000,FT,MSL,,22500,FT,MSL,U,FORT CARSON,CO,UNITED STATES,"FAA, DENVER ARTCC",,,1,0,BY NOTAM 24 HOURS IN ADVANCE,-7,1,,0,0,0,1,0,0,0.0430279706447436,0.871340581352635
393,9A995C57-3994-428F-A783-1831CDEB2271,R-2601D,R,,TNI,60000,FT,MSL,,35000,FT,MSL,U,FORT CARSON,CO,UNITED STATES,"FAA, DENVER ARTCC",,,1,0,BY NOTAM 24 HOURS IN ADVANCE,-7,1,,0,0,0,1,0,0,0.0430279706447436,0.871340581352635
394,7B780EB7-EEF4-47ED-B8C5-B7E7A3FA8AF6,R-2602,R,,TI,1000,FT,SFC,,0,FT,SFC,L,COLORADO SPRINGS,CO,UNITED STATES,"FAA, DENVER ARTCC",,,1,0,CONTINUOUS,-7,1,,0,0,1,0,0,0,0.000264814801994362,0.0655608953952128
395,78F99D28-8BDE-49BD-BD75-B6A66A61A9D0,R-2901C,R,,TNI,14000,FT,MSL,,0,FT,SFC,L,AVON PARK,FL,UNITED STATES,"FAA, MIAMI ARTCC",,,1,0,"INTERMITTENT, 0600 - 2400, MON - FRI; 0800 - 1800, SAT - SUN; %OTHER TIMES BY NOTAM 6 HOURS IN ADVANCE",-5,1,,0,0,1,0,0,0,0.0079970353428962,0.471190828055969
